10000 79990
6918 81 51
81 2446 29
2446 81 29
81 6803 22
6803 81 22
81 4859 93
4859 81 93
82 2604 78
2604 82 78
82 2827 26
2827 82 26
82 9054 23
9054 82 23
82 2758 80
2758 82 80
83 8411 18
8411 83 18
83 1964 30
1964 83 30
83 3305 82
3305 83 82
83 9466 45
9466 83 45
84 5060 85
5060 84 85
84 4034 94
4034 84 94
84 270 20
270 84 20
84 6217 93
6217 84 93
85 3473 41
3473 85 41
85 2767 47
2767 85 47
85 640 23
640 85 23
85 3343 72
3343 85 72
86 677 65
677 86 65
86 38 92
38 86 92
86 409 50
409 86 50
86 3489 24
3489 86 24
87 919 69
919 87 69
87 5203 65
5203 87 65
87 2157 77
2157 87 77
87 9916 62
9916 87 62
88 2671 71
2671 88 71
88 6801 68
6801 88 68
88 5262 49
5262 88 49
88 4399 92
4399 88 92
89 6615 3
6615 89 3
89 1347 91
1347 89 91
89 7878 45
7878 89 45
89 1379 55
1379 89 55
90 6329 2
6329 90 2
90 2136 87
2136 90 87
90 233 64
233 90 64
90 6269 50
6269 90 50
91 6421 39
6421 91 39
91 6421 1
6421 91 1
91 8646 74
8646 91 74
91 3372 26
3372 91 26
92 4109 98
4109 92 98
92 6103 10
6103 92 10
92 9408 47
9408 92 47
92 1520 64
1520 92 64
93 1840 39
1840 93 39
93 1544 16
1544 93 16
93 7128 48
7128 93 48
93 9279 54
9279 93 54
94 4226 96
4226 94 96
94 5451 69
5451 94 69
94 3223 46
3223 94 46
94 1607 47
1607 94 47
95 7031 18
7031 95 18
95 7302 99
7302 95 99
95 9604 100
9604 95 100
95 3704 66
3704 95 66
96 7166 82
7166 96 82
96 9860 33
9860 96 33
96 1107 7
1107 96 7
96 7582 14
7582 96 14
97 1575 21
1575 97 21
97 8164 5
8164 97 5
97 5541 71
5541 97 71
97 5817 20
5817 97 20
98 9361 26
9361 98 26
98 4343 86
4343 98 86
98 4891 66
4891 98 66
98 6661 81
6661 98 81
99 6301 32
6301 99 32
99 1302 81
1302 99 81
99 3538 89
3538 99 89
99 6351 69
6351 99 69
100 9189 80
9189 100 80
100 912 88
912 100 88
100 710 32
710 100 32
100 4137 85
4137 100 85
101 2156 81
2156 101 81
101 5196 58
5196 101 58
101 5585 11
5585 101 11
101 4737 76
4737 101 76
102 2158 71
2158 102 71
102 2394 18
2394 102 18
102 2167 86
2167 102 86
102 6556 83
6556 102 83
103 8463 92
8463 103 92
103 9304 86
9304 103 86
103 8003 22
8003 103 22
103 6807 34
6807 103 34
104 2072 4
2072 104 4
104 7416 24
7416 104 24
104 6969 13
6969 104 13
104 3817 28
3817 104 28
105 8501 44
8501 105 44
105 5281 86
5281 105 86
105 8930 33
8930 105 33
105 8205 99
8205 105 99
106 2285 97
2285 106 97
106 8206 70
8206 106 70
106 1385 68
1385 106 68
106 4824 4
4824 106 4
107 1488 79
1488 107 79
107 4482 53
4482 107 53
107 6659 68
6659 107 68
107 7890 43
7890 107 43
108 6620 4
6620 108 4
108 7115 65
7115 108 65
108 8879 57
8879 108 57
108 1416 71
1416 108 71
109 1475 71
1475 109 71
109 3259 23
3259 109 23
109 318 99
318 109 99
109 6877 12
6877 109 12
110 7647 21
7647 110 21
110 3500 96
3500 110 96
110 6160 94
6160 110 94
110 9584 34
9584 110 34
111 2910 94
2910 111 94
111 6866 11
6866 111 11
111 422 13
422 111 13
111 625 45
625 111 45
112 8143 63
8143 112 63
112 4366 61
4366 112 61
112 3920 18
3920 112 18
112 3306 34
3306 112 34
113 4576 15
4576 113 15
113 8353 96
8353 113 96
113 4667 7
4667 113 7
113 4212 12
4212 113 12
114 5708 47
5708 114 47
114 7390 38
7390 114 38
114 550 96
550 114 96
114 6241 58
6241 114 58
115 6210 14
6210 115 14
115 11 6
11 115 6
115 6028 66
6028 115 66
115 401 72
401 115 72
116 5857 41
5857 116 41
116 4483 67
4483 116 67
116 3537 85
3537 116 85
116 9335 99
9335 116 99
117 2672 96
2672 117 96
117 2812 74
2812 117 74
117 5049 30
5049 117 30
117 6468 71
6468 117 71
118 9705 51
9705 118 51
118 358 34
358 118 34
118 4231 53
4231 118 53
118 5883 90
5883 118 90
119 7317 94
7317 119 94
119 1755 45
1755 119 45
119 5105 73
5105 119 73
119 5002 81
5002 119 81
120 8927 20
8927 120 20
120 3826 55
3826 120 55
120 6628 15
6628 120 15
120 468 19
468 120 19
121 7512 39
7512 121 39
121 3687 6
3687 121 6
121 9480 68
9480 121 68
121 3472 89
3472 121 89
122 6838 35
6838 122 35
122 8246 26
8246 122 26
122 4862 12
4862 122 12
122 9841 41
9841 122 41
123 6038 34
6038 123 34
123 7596 9
7596 123 9
123 6845 64
6845 123 64
123 9324 57
9324 123 57
124 9497 8
9497 124 8
124 9901 8
9901 124 8
124 1261 90
1261 124 90
124 9766 2
9766 124 2
125 2291 64
2291 125 64
125 1860 36
1860 125 36
125 5092 14
5092 125 14
125 5304 68
5304 125 68
126 2826 87
2826 126 87
126 3101 59
3101 126 59
126 3098 91
3098 126 91
126 2663 3
2663 126 3
127 5934 80
5934 127 80
127 2171 15
2171 127 15
127 4023 100
4023 127 100
127 2885 96
2885 127 96
128 1738 26
1738 128 26
128 2257 28
2257 128 28
128 9886 88
9886 128 88
128 4340 43
4340 128 43
129 8281 99
8281 129 99
129 5725 56
5725 129 56
129 6519 27
6519 129 27
129 7297 36
7297 129 36
130 3912 66
3912 130 66
130 3928 34
3928 130 34
130 8595 24
8595 130 24
130 8100 86
8100 130 86
131 8365 54
8365 131 54
131 1879 9
1879 131 9
131 3595 44
3595 131 44
131 4819 14
4819 131 14
132 9660 65
9660 132 65
132 5633 70
5633 132 70
132 8275 57
8275 132 57
132 761 49
761 132 49
133 5531 19
5531 133 19
133 5479 59
5479 133 59
133 9054 55
9054 133 55
133 3694 43
3694 133 43
134 9011 36
9011 134 36
134 1406 66
1406 134 66
134 991 9
991 134 9
134 9731 10
9731 134 10
135 9420 31
9420 135 31
135 5909 38
5909 135 38
135 519 53
519 135 53
135 501 93
501 135 93
136 3246 72
3246 136 72
136 3757 34
3757 136 34
136 7641 51
7641 136 51
136 8592 26
8592 136 26
137 5457 72
5457 137 72
137 3238 5
3238 137 5
137 4058 48
4058 137 48
137 1096 35
1096 137 35
138 1372 65
1372 138 65
138 7453 88
7453 138 88
138 8764 64
8764 138 64
138 2589 25
2589 138 25
139 6856 25
6856 139 25
139 3591 35
3591 139 35
139 60 91
60 139 91
139 7611 25
7611 139 25
140 4140 99
4140 140 99
140 3338 19
3338 140 19
140 2780 90
2780 140 90
140 5925 22
5925 140 22
141 3251 58
3251 141 58
141 9368 45
9368 141 45
141 959 89
959 141 89
141 8832 17
8832 141 17
142 5680 58
5680 142 58
142 619 7
619 142 7
142 8749 67
8749 142 67
142 2248 55
2248 142 55
143 7993 83
7993 143 83
143 8018 35
8018 143 35
143 289 85
289 143 85
143 6270 48
6270 143 48
144 6046 85
6046 144 85
144 782 30
782 144 30
144 7729 4
7729 144 4
144 1433 70
1433 144 70
145 4636 58
4636 145 58
145 971 30
971 145 30
145 5698 16
5698 145 16
145 4037 78
4037 145 78
146 5865 5
5865 146 5
146 7487 54
7487 146 54
146 8896 47
8896 146 47
146 3793 69
3793 146 69
147 2924 65
2924 147 65
147 5092 91
5092 147 91
147 5328 90
5328 147 90
147 1054 42
1054 147 42
148 459 11
459 148 11
148 6219 32
6219 148 32
148 8224 88
8224 148 88
148 550 25
550 148 25
149 7979 84
7979 149 84
149 2442 48
2442 149 48
149 8035 10
8035 149 10
149 2981 84
2981 149 84
150 4672 4
4672 150 4
150 9328 12
9328 150 12
150 9097 66
9097 150 66
150 1299 89
1299 150 89
151 5294 41
5294 151 41
151 6191 99
6191 151 99
151 6246 46
6246 151 46
151 6468 41
6468 151 41
152 3320 71
3320 152 71
152 1142 57
1142 152 57
152 5711 26
5711 152 26
152 3019 25
3019 152 25
153 1935 81
1935 153 81
153 5647 96
5647 153 96
153 6104 56
6104 153 56
153 453 17
453 153 17
154 9853 72
9853 154 72
154 1037 23
1037 154 23
154 4058 10
4058 154 10
154 6655 7
6655 154 7
155 1970 24
1970 155 24
155 2417 3
2417 155 3
155 6231 84
6231 155 84
155 7987 74
7987 155 74
156 5446 78
5446 156 78
156 1975 76
1975 156 76
156 7841 57
7841 156 57
156 8143 44
8143 156 44
157 7108 72
7108 157 72
157 9440 77
9440 157 77
157 8549 19
8549 157 19
157 9635 56
9635 157 56
158 4646 49
4646 158 49
158 4849 89
4849 158 89
158 5864 66
5864 158 66
158 9419 88
9419 158 88
159 3722 1
3722 159 1
159 5982 81
5982 159 81
159 6136 91
6136 159 91
159 5600 7
5600 159 7
160 1185 18
1185 160 18
160 4029 27
4029 160 27
160 2214 3
2214 160 3
160 7882 45
7882 160 45
161 7639 61
7639 161 61
161 1743 4
1743 161 4
161 7238 33
7238 161 33
161 9245 57
9245 161 57
162 4759 80
4759 162 80
162 9129 67
9129 162 67
162 4374 47
4374 162 47
162 658 33
658 162 33
163 3637 11
3637 163 11
163 1894 68
1894 163 68
163 1483 59
1483 163 59
163 2110 47
2110 163 47
164 8795 33
8795 164 33
164 8177 47
8177 164 47
164 6315 31
6315 164 31
164 9552 32
9552 164 32
165 1190 44
1190 165 44
165 6022 17
6022 165 17
165 3314 54
3314 165 54
165 8215 77
8215 165 77
166 6597 38
6597 166 38
166 4225 27
4225 166 27
166 7160 87
7160 166 87
166 2152 52
2152 166 52
167 168 58
168 167 58
167 2807 45
2807 167 45
167 6017 6
6017 167 6
167 4605 27
4605 167 27
168 7106 49
7106 168 49
168 1646 89
1646 168 89
168 9402 1
9402 168 1
168 9554 72
9554 168 72
169 9807 35
9807 169 35
169 588 67
588 169 67
169 7403 17
7403 169 17
169 6006 57
6006 169 57
170 889 36
889 170 36
170 9893 14
9893 170 14
170 5488 85
5488 170 85
170 6744 31
6744 170 31
171 7248 67
7248 171 67
171 5684 27
5684 171 27
171 5274 29
5274 171 29
171 1507 91
1507 171 91
172 2402 41
2402 172 41
172 4025 20
4025 172 20
172 678 71
678 172 71
172 7583 20
7583 172 20
173 3426 41
3426 173 41
173 9897 45
9897 173 45
173 8885 50
8885 173 50
173 9385 66
9385 173 66
174 7391 64
7391 174 64
174 269 42
269 174 42
174 3823 7
3823 174 7
174 105 96
105 174 96
175 652 26
652 175 26
175 6813 48
6813 175 48
175 9866 17
9866 175 17
175 6662 85
6662 175 85
176 4151 81
4151 176 81
176 411 7
411 176 7
176 8942 24
8942 176 24
176 7067 74
7067 176 74
177 4788 16
4788 177 16
177 2156 88
2156 177 88
177 817 32
817 177 32
177 6732 34
6732 177 34
178 9947 59
9947 178 59
178 5935 4
5935 178 4
178 8401 43
8401 178 43
178 1529 43
1529 178 43
179 8761 40
8761 179 40
179 5448 95
5448 179 95
179 9836 41
9836 179 41
179 7357 84
7357 179 84
180 930 57
930 180 57
180 2922 66
2922 180 66
180 2730 64
2730 180 64
180 711 31
711 180 31
181 6800 65
6800 181 65
181 2247 94
2247 181 94
181 5514 3
5514 181 3
181 7697 16
7697 181 16
182 2117 18
2117 182 18
182 2927 66
2927 182 66
182 3564 11
3564 182 11
182 9563 69
9563 182 69
183 6602 11
6602 183 11
183 9505 36
9505 183 36
183 968 2
968 183 2
183 2645 52
2645 183 52
184 2721 18
2721 184 18
184 8350 13
8350 184 13
184 8128 66
8128 184 66
184 2937 33
2937 184 33
185 6497 95
6497 185 95
185 4209 86
4209 185 86
185 746 17
746 185 17
185 7388 50
7388 185 50
186 5853 18
5853 186 18
186 3446 52
3446 186 52
186 2580 42
2580 186 42
186 2918 45
2918 186 45
187 7697 87
7697 187 87
187 4243 50
4243 187 50
187 2885 17
2885 187 17
187 2641 6
2641 187 6
188 2769 32
2769 188 32
188 8423 83
8423 188 83
188 1696 1
1696 188 1
188 2520 26
2520 188 26
189 5918 68
5918 189 68
189 9753 35
9753 189 35
189 41 72
41 189 72
189 2400 47
2400 189 47
190 7265 32
7265 190 32
190 2507 37
2507 190 37
190 9181 98
9181 190 98
190 5081 60
5081 190 60
191 5025 9
5025 191 9
191 7123 80
7123 191 80
191 6397 58
6397 191 58
191 2843 66
2843 191 66
192 97 7
97 192 7
192 5947 21
5947 192 21
192 8410 16
8410 192 16
192 4865 77
4865 192 77
193 7807 27
7807 193 27
193 4125 98
4125 193 98
193 3798 72
3798 193 72
193 8984 92
8984 193 92
194 8967 27
8967 194 27
194 7204 80
7204 194 80
194 2848 27
2848 194 27
194 3398 81
3398 194 81
195 2851 17
2851 195 17
195 7796 13
7796 195 13
195 45 81
45 195 81
195 846 99
846 195 99
196 4413 38
4413 196 38
196 2510 43
2510 196 43
196 9058 78
9058 196 78
196 8808 65
8808 196 65
197 7165 40
7165 197 40
197 2386 26
2386 197 26
197 9252 13
9252 197 13
197 9696 59
9696 197 59
198 5782 12
5782 198 12
198 2690 88
2690 198 88
198 3009 17
3009 198 17
198 6253 8
6253 198 8
199 7798 26
7798 199 26
199 4211 50
4211 199 50
199 6569 6
6569 199 6
199 4236 16
4236 199 16
200 3517 99
3517 200 99
200 6246 23
6246 200 23
200 8114 63
8114 200 63
200 4937 93
4937 200 93
201 531 2
531 201 2
201 4831 64
4831 201 64
201 5046 9
5046 201 9
201 4369 50
4369 201 50
202 3760 92
3760 202 92
202 7778 94
7778 202 94
202 1000 97
1000 202 97
202 164 23
164 202 23
203 7823 69
7823 203 69
203 8531 59
8531 203 59
203 2237 25
2237 203 25
203 6269 74
6269 203 74
204 646 47
646 204 47
204 2389 25
2389 204 25
204 4597 30
4597 204 30
204 6626 88
6626 204 88
205 2177 86
2177 205 86
205 4699 84
4699 205 84
205 9782 28
9782 205 28
205 5130 17
5130 205 17
206 4701 84
4701 206 84
206 6661 4
6661 206 4
206 5212 42
5212 206 42
206 2572 16
2572 206 16
207 8241 84
8241 207 84
207 1287 73
1287 207 73
207 1719 71
1719 207 71
207 1749 18
1749 207 18
208 3819 69
3819 208 69
208 1015 23
1015 208 23
208 3897 18
3897 208 18
208 8099 97
8099 208 97
209 3537 18
3537 209 18
209 8765 7
8765 209 7
209 9588 45
9588 209 45
209 8387 25
8387 209 25
210 1150 95
1150 210 95
210 5624 80
5624 210 80
210 1084 36
1084 210 36
210 8758 77
8758 210 77
211 3500 47
3500 211 47
211 8977 19
8977 211 19
211 1241 44
1241 211 44
211 6378 41
6378 211 41
212 8725 32
8725 212 32
212 10 67
10 212 67
212 3047 93
3047 212 93
212 288 88
288 212 88
213 5497 92
5497 213 92
213 1751 67
1751 213 67
213 5900 94
5900 213 94
213 51 4
51 213 4
214 2820 91
2820 214 91
214 7597 47
7597 214 47
214 8719 70
8719 214 70
214 5054 15
5054 214 15
215 4837 45
4837 215 45
215 477 21
477 215 21
215 7508 30
7508 215 30
215 8313 98
8313 215 98
216 8660 18
8660 216 18
216 8267 87
8267 216 87
216 4995 1
4995 216 1
216 87 41
87 216 41
217 3411 95
3411 217 95
217 7401 11
7401 217 11
217 9107 84
9107 217 84
217 2939 63
2939 217 63
218 1867 29
1867 218 29
218 8842 43
8842 218 43
218 3840 53
3840 218 53
218 6169 100
6169 218 100
219 5969 1
5969 219 1
219 3233 73
3233 219 73
219 6400 10
6400 219 10
219 4485 22
4485 219 22
220 6984 11
6984 220 11
220 1619 63
1619 220 63
220 1953 52
1953 220 52
220 4827 74
4827 220 74
221 5000 89
5000 221 89
221 7680 32
7680 221 32
221 1928 38
1928 221 38
221 9921 75
9921 221 75
222 3252 99
3252 222 99
222 8460 77
8460 222 77
222 8181 58
8181 222 58
222 9065 11
9065 222 11
223 7394 64
7394 223 64
223 3166 39
3166 223 39
223 275 63
275 223 63
223 5630 50
5630 223 50
224 9566 14
9566 224 14
224 1560 45
1560 224 45
224 7577 87
7577 224 87
224 413 70
413 224 70
225 1945 72
1945 225 72
225 5202 18
5202 225 18
225 4648 53
4648 225 53
225 7895 81
7895 225 81
226 1280 56
1280 226 56
226 8924 72
8924 226 72
226 1763 33
1763 226 33
226 4348 94
4348 226 94
227 1493 37
1493 227 37
227 6887 25
6887 227 25
227 8140 89
8140 227 89
227 1925 19
1925 227 19
228 5781 48
5781 228 48
228 7208 61
7208 228 61
228 4751 89
4751 228 89
228 2619 14
2619 228 14
229 7341 50
7341 229 50
229 3492 76
3492 229 76
229 6714 67
6714 229 67
229 550 21
550 229 21
230 8970 89
8970 230 89
230 5216 22
5216 230 22
230 2752 53
2752 230 53
230 8435 12
8435 230 12
231 4424 19
4424 231 19
231 6692 42
6692 231 42
231 9926 51
9926 231 51
231 8526 27
8526 231 27
232 9335 6
9335 232 6
232 8621 100
8621 232 100
232 670 46
670 232 46
232 2918 50
2918 232 50
233 1963 53
1963 233 53
233 4110 66
4110 233 66
233 4191 14
4191 233 14
233 9582 93
9582 233 93
234 9240 82
9240 234 82
234 9836 13
9836 234 13
234 3813 16
3813 234 16
234 9640 94
9640 234 94
235 5903 6
5903 235 6
235 5010 18
5010 235 18
235 2820 53
2820 235 53
235 1623 96
1623 235 96
236 4487 1
4487 236 1
236 3472 10
3472 236 10
236 5238 71
5238 236 71
236 5438 29
5438 236 29
237 107 80
107 237 80
237 2965 100
2965 237 100
237 1682 74
1682 237 74
237 9585 85
9585 237 85
238 2364 91
2364 238 91
238 8326 70
8326 238 70
238 7077 80
7077 238 80
238 5606 69
5606 238 69
239 7011 63
7011 239 63
239 2120 13
2120 239 13
239 6910 94
6910 239 94
239 6216 52
6216 239 52
240 7174 15
7174 240 15
240 1526 50
1526 240 50
240 942 66
942 240 66
240 9511 84
9511 240 84
241 4039 17
4039 241 17
241 6434 92
6434 241 92
241 9604 23
9604 241 23
241 8373 84
8373 241 84
242 1306 47
1306 242 47
242 5009 39
5009 242 39
242 1817 88
1817 242 88
242 503 40
503 242 40
243 8950 77
8950 243 77
243 2660 56
2660 243 56
243 537 17
537 243 17
243 4993 8
4993 243 8
244 7801 53
7801 244 53
244 5569 35
5569 244 35
244 1350 78
1350 244 78
244 3885 91
3885 244 91
245 2576 11
2576 245 11
245 5273 30
5273 245 30
245 9026 11
9026 245 11
245 8531 27
8531 245 27
246 8368 31
8368 246 31
246 2158 78
2158 246 78
246 1335 57
1335 246 57
246 1202 90
1202 246 90
247 8746 31
8746 247 31
247 800 78
800 247 78
247 3894 13
3894 247 13
247 1818 12
1818 247 12
248 4111 22
4111 248 22
248 8333 50
8333 248 50
248 9784 79
9784 248 79
248 42 82
42 248 82
249 5598 68
5598 249 68
249 7517 34
7517 249 34
249 3900 78
3900 249 78
249 3086 79
3086 249 79
250 7976 36
7976 250 36
250 7227 56
7227 250 56
250 8008 20
8008 250 20
250 9716 40
9716 250 40
251 8774 93
8774 251 93
251 6068 15
6068 251 15
251 2740 90
2740 251 90
251 5187 50
5187 251 50
252 5688 56
5688 252 56
252 9518 14
9518 252 14
252 4444 67
4444 252 67
252 9455 13
9455 252 13
253 5727 42
